Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
5,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
4,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
104,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
26,2,2,0,6,10,1,2,10,8,8,12,12,3,10,0,1,11,8,0,1
23,2,2,0,6,10,1,2,10,8,8,12,12,3,10,0,1,11,8,0,1
12,7,1,3,1,8,2,11,0,13,4,2,2,11,0,10,7,0,4,2,4
30,7,1,3,1,8,2,11,0,13,4,2,2,11,0,10,7,0,4,2,4
32,7,1,3,1,8,2,11,0,13,4,2,2,11,0,10,7,0,4,2,4
11,7,1,3,5,0,2,11,5,1,4,2,2,8,0,10,7,13,4,8,4
13,6,1,4,6,10,1,2,10,13,4,7,12,11,10,12,1,0,8,2,1
15,6,1,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
16,12,1,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
29,12,1,13,1,11,11,11,0,13,13,12,13,11,0,10,7,0,6,4,4
246,12,2,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
20,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
334,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
335,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
1,5,6,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
44,5,6,14,8,5,6,10,1,0,1,12,4,1,7,9,9,9,14,6,11
86,5,6,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
159,3,10,9,8,5,6,0,1,0,1,0,4,7,7,9,6,9,14,6,11
176,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
180,5,0,1,11,3,0,5,2,10,11,5,0,1,8,1,2,10,14,7,9
240,5,6,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
248,5,2,14,8,5,6,13,7,0,1,0,4,1,3,9,0,1,13,6,7
260,0,11,10,5,0,9,0,5,12,7,9,7,4,4,13,6,13,0,8,12
123,6,10,14,5,5,9,10,1,5,7,0,7,4,4,13,6,13,0,8,12
312,5,10,10,8,5,9,0,1,12,1,9,10,7,11,9,9,9,14,6,12
28,7,1,3,1,7,2,11,0,1,4,2,2,8,0,10,7,0,4,8,4
33,7,1,3,1,7,2,11,0,1,4,2,2,8,0,10,7,0,4,8,4
14,7,1,3,1,8,2,11,0,13,4,2,2,11,0,10,7,0,4,2,4
38,7,1,3,0,9,2,11,0,1,4,2,2,8,0,10,10,0,4,3,4
35,3,9,3,0,1,7,1,0,6,0,2,3,8,0,3,5,3,3,7,3
17,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
36,7,1,3,0,1,2,11,0,1,4,2,2,8,0,10,5,3,4,7,4
