Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Best Modularity
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
30,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
246,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
247,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
334,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
335,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
159,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
176,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
180,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
240,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
248,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
260,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
123,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
312,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
59,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
243,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
313,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
134,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
171,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
177,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
222,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
